Altium Designer Pick and Place Locations
C:\Users\c14466\Microchip Technology, Inc\MCU32 Applications - MCU32 HW\Sustaining\svn\Boards\16-07369\PCB Files\Rev 2.0\Design Files\Gerbers\Pick Place for 05-10912_R2.0(16-10912_R2.0).txt

========================================================================================================================
File Design Information:

Date:       18/12/19
Time:       14:50
Revision:   Not in VersionControl
Variant:    16-10912_R2.0
Units used: mil

Designator Comment                                                                         Layer       Footprint                                                      Center-X(mil) Center-Y(mil) Rotation Description                                                             
""         Comment                                                                         TopLayer    MIKROBUS_HOST_CONN._-_exit_top_-_w/X32_HDRs-no_top_HDR_outline -14576.767    -15643.890    0        ""                                                                      
""         Comment                                                                         TopLayer    MIKROBUS_HOST_CONN._-_exit_top_-_w/X32_HDRs-no_top_HDR_outline -14576.767    -15643.890    0        ""                                                                      
R501       Resistor                                                                        BottomLayer RES_C_0603                                                     545.504       179.000       360      Resistor                                                                
PAD3       "Rubber Pad Cylindrical"                                                        BottomLayer BUMP_3M_SJ61A2_CYLINDRICAL_BLACK_D9.53H5.97                    -14576.767    -15643.890    180      ""                                                                      
PAD4       "Rubber Pad Cylindrical"                                                        BottomLayer BUMP_3M_SJ61A2_CYLINDRICAL_BLACK_D9.53H5.97                    -14576.767    -15643.890    180      ""                                                                      
PAD2       "Rubber Pad Cylindrical"                                                        BottomLayer BUMP_3M_SJ61A2_CYLINDRICAL_BLACK_D9.53H5.97                    -14576.767    -15643.890    180      ""                                                                      
PAD1       "Rubber Pad Cylindrical"                                                        BottomLayer BUMP_3M_SJ61A2_CYLINDRICAL_BLACK_D9.53H5.97                    -14576.767    -15643.890    180      ""                                                                      
R1         0R                                                                              TopLayer    RES_C_1210                                                     1867.000      1340.000      270      Resistor                                                                
J409       "Header 1x3"                                                                    TopLayer    HDR_M_2.54_1x3_RA                                              3186.000      2852.000      180      ""                                                                      
R701       Resistor                                                                        BottomLayer RES_C_0402                                                     253.000       1598.000      270      Resistor                                                                
D200       TPD3E001DRLR                                                                    TopLayer    AP6-00521                                                      289.535       621.492       270      "TVS DIODE  LOW-CAP 3-CH ESD-Protection  for HS Data Interfaces SOT553" 
R714       Resistor                                                                        TopLayer    RES_C_1210                                                     452.000       1560.000      360      Resistor                                                                
ERASE      ID25MilRING40Mil                                                                BottomLayer TP_TH_ID25MILRING40MIL_No_Silk                                 406.000       2328.000      90       "TP-ID25MIL_RING40MIL_NO SILK"                                          
Q700       "Transistor MOS-P GSD"                                                          BottomLayer SOT-23-3                                                       739.724       2116.000      90       "Transistor MOS"                                                        
R752       Resistor                                                                        BottomLayer RES_C_0402                                                     227.000       1705.284      90       Resistor                                                                
J201       ZX62D-AB-5P8(30)                                                                TopLayer    CON_USB_Micro-AB_SMD_RA_HIR_ZX62D-AB-5P8(30)                   118.476       615.000       270      "CON USB2.0 Micro-AB Female ZX62D-AB-5P8(30) TOP MOUNT TH R/A"          
TP3V3      ID25MilRING40Mil                                                                BottomLayer TP_TH_ID25MILRING40MIL_No_Silk                                 406.000       2258.000      0        "TP-ID25MIL_RING40MIL_NO SILK"                                          
R723       Resistor                                                                        TopLayer    RES_C_0402                                                     352.000       2434.000      180      Resistor                                                                
C721       "Capacitor NP"                                                                  BottomLayer CAP_C_0201                                                     505.284       2266.000      360      Capacitor                                                               
Y401       "DSC10xx DFN-4"                                                                 TopLayer    OSCILLATOR_DSC1001_L3.2W2.5H0.85                               4758.997      736.997       0        ""                                                                      
J306       "Header 1x8"                                                                    TopLayer    HDR_F_2.54_1x8                                                 4665.000      2370.000      270      "CON HDR-2.54 Female 1x8 Gold TH"                                       
J305       "Header 1x8"                                                                    TopLayer    HDR_F_2.54_1x8                                                 3765.000      2370.000      270      "CON HDR-2.54 Female 1x8 Gold TH"                                       
J302       "Header 1x8"                                                                    TopLayer    HDR_F_2.54_1x8                                                 2595.000      2370.000      270      "CON HDR-2.54 Female 1x8 Gold TH"                                       
J301       "Header 1x8"                                                                    TopLayer    HDR_F_2.54_1x8                                                 1692.000      2370.000      270      "CON HDR-2.54 Female 1x8 Gold TH"                                       
C409       "Capacitor NP"                                                                  TopLayer    CAP_C_0201                                                     4656.000      764.000       270      Capacitor                                                               
U402       "ATA6563 VDFN-8"                                                                BottomLayer DFN-8_3x3_EP2.4X1.55                                           3220.346      2491.535      180      "MCHP INTERFACE CAN ATA6561-GBQW VDFN-8"                                
U401       SST26VF032BA                                                                    TopLayer    AP6-00529                                                      4592.000      1278.000      0        "FLASH 32MBIT_8SOIC (W5.3mm) SST26VF032BAT-104I/SM"                     
SW3        "Switch 4 Pin"                                                                  TopLayer    SW_TACT_SMD_B3S-1000                                           1535.000      240.000       90       Switch                                                                  
SW2        "Switch 4 Pin"                                                                  TopLayer    SW_TACT_SMD_B3S-1000                                           1155.000      240.000       90       Switch                                                                  
SW1        "Switch 4 Pin"                                                                  TopLayer    SW_TACT_SMD_B3S-1000                                           775.000       240.000       90       Switch                                                                  
R601       Resistor                                                                        BottomLayer RES_C_0402                                                     2662.284      666.000       360      Resistor                                                                
R404       Resistor                                                                        BottomLayer RES_C_1210                                                     3111.961      2725.559      360      Resistor                                                                
R405       Resistor                                                                        BottomLayer RES_C_1210                                                     3296.961      2725.559      360      Resistor                                                                
R403       Resistor                                                                        TopLayer    RES_C_0402                                                     4696.283      626.000       360      Resistor                                                                
R402       Resistor                                                                        BottomLayer RES_C_0402                                                     4374.000      99.000        270      Resistor                                                                
R401       Resistor                                                                        BottomLayer RES_C_0402                                                     4422.000      100.000       270      Resistor                                                                
nMCLR      "Switch 4 Pin"                                                                  TopLayer    SW_TACT_SMD_B3S-1000                                           385.000       240.000       90       Switch                                                                  
MH602      "Hole PTH"                                                                      TopLayer    AP8-01119                                                      3833.961      187.000       0        "Round Standoff Threaded M2.5x0.45 Steel 0.098" (H2.50mm)"              
MH601      "Hole PTH"                                                                      TopLayer    AP8-01119                                                      2324.961      187.000       0        "Round Standoff Threaded M2.5x0.45 Steel 0.098" (H2.50mm)"              
LED2       LED_green                                                                       TopLayer    LED_0603_GREEN                                                 1159.000      565.000       180      LED                                                                     
LED1       LED_red                                                                         TopLayer    LED_0603_RED                                                   775.000       565.000       180      LED                                                                     
J601       "TE CONNECTIVITY P/N: 2199230-3"                                                TopLayer    AP8-01128                                                      3079.733      389.091       270      "PIC32 GFX CONNECTOR W_MOUNTING LOC_2199230-3"                          
J501       "Header 2x10"                                                                   TopLayer    HDR_M_2.54_2x10_RA                                             5162.000      755.000       270      ""                                                                      
J410       "Header 2x5"                                                                    TopLayer    HDR_F_2.54_2x5_TH_RA_SSQ-105-02-G-D-RA                         5162.000      1690.000      270      ""                                                                      
J408       "Header 1x8"                                                                    TopLayer    HDR_F_2.54_1x8                                                 1945.000      2920.000      360      "CON HDR-2.54 Female 1x8 Gold TH"                                       
J407       "Header 1x10"                                                                   TopLayer    HDR_F_2.54_1x10                                                985.000       2920.000      360      ""                                                                      
J406       "Header 1x6"                                                                    TopLayer    HDR_F_2.54_1X6_801-43-006-10-001000                            2045.000      1020.000      360      ""                                                                      
J405       "Header 1x8"                                                                    TopLayer    HDR_F_2.54_1x8                                                 1245.000      1020.000      360      "CON HDR-2.54 Female 1x8 Gold TH"                                       
J404       "Header 1x3"                                                                    TopLayer    HDR_F_1.27_1x3_U_TH_V_SAM_SLM-103-01-L-S                       4914.961      125.000       90       ""                                                                      
J403       "Header 1x3"                                                                    TopLayer    HDR_F_1.27_1x3_U_TH_V_SAM_SLM-103-01-L-S                       4214.961      125.000       90       ""                                                                      
J402       "Header 1x12"                                                                   TopLayer    HDR_F_1.27_1x12_U_TH_V_SAM_SLM-112-01-L-S                      4914.961      700.000       90       ""                                                                      
J401       "Header 1x12"                                                                   TopLayer    HDR_F_1.27_1x12_U_TH_V_SAM_SLM-112-01-L-S                      4214.961      700.000       90       ""                                                                      
J304       "Header 2x6"                                                                    TopLayer    HDR_M_2.54_2x6                                                 3465.000      2270.000      270      ""                                                                      
J307       "Header 2x10"                                                                   TopLayer    HDR_M_2.54_2x10                                                4965.000      2470.000      270      ""                                                                      
J308       "Header 2x6"                                                                    TopLayer    HDR_M_2.54_2x6                                                 1395.000      2270.000      270      ""                                                                      
J303       "Header 2x10"                                                                   TopLayer    HDR_M_2.54_2x10                                                2895.000      2470.000      270      ""                                                                      
C408       "Capacitor NP"                                                                  BottomLayer CAP_C_0201                                                     4810.000      864.665       270      Capacitor                                                               
C407       "Capacitor NP"                                                                  BottomLayer CAP_C_0201                                                     5026.000      1622.000      270      Capacitor                                                               
C406       "Capacitor NP"                                                                  BottomLayer CAP_C_0805                                                     3221.961      2625.559      180      Capacitor                                                               
C405       "Capacitor NP"                                                                  BottomLayer CAP_C_0402                                                     3124.961      2451.276      270      Capacitor                                                               
C404       "Capacitor NP"                                                                  BottomLayer CAP_C_0201                                                     3218.000      2385.000      360      Capacitor                                                               
C403       "Capacitor NP"                                                                  BottomLayer CAP_C_0201                                                     3125.000      2542.000      270      Capacitor                                                               
C402       "Capacitor NP"                                                                  TopLayer    CAP_C_0201                                                     4811.000      1338.000      270      Capacitor                                                               
C401       "Capacitor NP"                                                                  BottomLayer CAP_C_0402                                                     4326.000      99.000        270      Capacitor                                                               
C200       "Capacitor NP"                                                                  BottomLayer CAP_C_0805                                                     681.000       1211.000      360      Capacitor                                                               
C201       "Capacitor NP"                                                                  BottomLayer CAP_C_0805                                                     948.000       1138.000      360      Capacitor                                                               
C202       "Capacitor NP"                                                                  BottomLayer CAP_C_0805                                                     694.000       1293.000      360      Capacitor                                                               
C203       "Capacitor NP"                                                                  BottomLayer CAP_C_0805                                                     695.000       1369.000      360      Capacitor                                                               
C204       "Capacitor NP"                                                                  BottomLayer CAP_C_0603                                                     1593.000      1452.000      90       Capacitor                                                               
C207       "Capacitor NP"                                                                  BottomLayer CAP_C_0603                                                     1437.000      1553.000      360      Capacitor                                                               
C208       "Capacitor NP"                                                                  BottomLayer CAP_C_0201                                                     1747.000      1446.000      270      Capacitor                                                               
C209       "Capacitor NP"                                                                  BottomLayer CAP_C_0603                                                     1792.000      1436.000      90       Capacitor                                                               
C210       "Capacitor NP"                                                                  BottomLayer CAP_C_0201                                                     1701.000      1672.000      270      Capacitor                                                               
C211       "Capacitor NP"                                                                  BottomLayer CAP_C_0201                                                     1257.000      1752.000      270      Capacitor                                                               
